"LOCATION"	"STRAND"	"LENGTH"	"PID"	"GENE"	"SYNNYM"	"CODE"	"COG"	"PRODUCT"	"CHRM"	"ORG"
"557677..558954"	"+"	425	398365275	"KTR2"	"YKR061W"	"-"	"-"	"Ktr2p"	11	2
"559666..560652"	"+"	328	6322915	"TFA2"	"YKR062W"	"-"	"-"	"Tfa2p"	11	2
"560789..562297"	"-"	502	398365293	"LAS1"	"YKR063C"	"-"	"-"	"Las1p"	11	2
"562547..565138"	"+"	863	6322917	"OAF3"	"YKR064W"	"-"	"-"	"Oaf3p"	11	2
"565299..565892"	"-"	197	398365305	"PAM17"	"YKR065C"	"-"	"-"	"Pam17p"	11	2
"566113..567198"	"-"	361	6322919	"CCP1"	"YKR066C"	"-"	"-"	"Ccp1p"	11	2
"567918..570149"	"+"	743	398365317	"GPT2"	"YKR067W"	"-"	"-"	"bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase GPT2"	11	2
"570328..570909"	"-"	193	6322921	"BET3"	"YKR068C"	"-"	"-"	"Bet3p"	11	2
"571612..573393"	"+"	593	398365329	"MET1"	"YKR069W"	"-"	"-"	"uroporphyrinogen-III C-methyltransferase"	11	2
"573574..574632"	"+"	352	6322923	"-"	"YKR070W"	"-"	"-"	"hypothetical protein"	11	2
"574934..575980"	"-"	348	398365343	"DRE2"	"YKR071C"	"-"	"-"	"Dre2p"	11	2
"576435..578123"	"-"	562	6322925	"SIS2"	"YKR072C"	"-"	"-"	"phosphopantothenoylcysteine decarboxylase complex subunit SIS2"	11	2
"579209..579676"	"+"	155	398365361	"AIM29"	"YKR074W"	"-"	"-"	"Aim29p"	11	2
"579827..580750"	"-"	307	6322928	"-"	"YKR075C"	"-"	"-"	"hypothetical protein"	11	2
"582283..583395"	"+"	370	398365369	"ECM4"	"YKR076W"	"-"	"-"	"Ecm4p"	11	2
"583653..584744"	"+"	363	6322930	"MSA2"	"YKR077W"	"-"	"-"	"Msa2p"	11	2
"584952..586709"	"+"	585	398365375	"-"	"YKR078W"	"-"	"-"	"hypothetical protein"	11	2
"586789..589305"	"-"	838	6322932	"TRZ1"	"YKR079C"	"-"	"-"	"Trz1p"	11	2
"590395..591357"	"+"	320	398365387	"MTD1"	"YKR080W"	"-"	"-"	"methylenetetrahydrofolate dehydrogenase (NAD(+))"	11	2
"591506..592540"	"-"	344	6322934	"RPF2"	"YKR081C"	"-"	"-"	"Rpf2p"	11	2
"592825..596298"	"+"	1157	398365403	"NUP133"	"YKR082W"	"-"	"-"	"Nup133p"	11	2
"596421..596822"	"-"	133	6322936	"DAD2"	"YKR083C"	"-"	"-"	"Dad2p"	11	2
"597055..598890"	"-"	611	398365409	"HBS1"	"YKR084C"	"-"	"-"	"Hbs1p"	11	2
"599094..599681"	"-"	195	6322938	"MRPL20"	"YKR085C"	"-"	"-"	"mitochondrial 54S ribosomal protein YmL20"	11	2
"599857..603072"	"+"	1071	398365421	"PRP16"	"YKR086W"	"-"	"-"	"DEAH-box RNA helicase PRP16"	11	2
"603195..604232"	"-"	345	50593425	"OMA1"	"YKR087C"	"-"	"-"	"Oma1p"	11	2
"604405..605418"	"-"	337	398365439	"TVP38"	"YKR088C"	"-"	"-"	"Tvp38p"	11	2
"605633..608365"	"-"	910	6322942	"TGL4"	"YKR089C"	"-"	"-"	"Tgl4p"	11	2
"608946..611066"	"+"	706	398365451	"PXL1"	"YKR090W"	"-"	"-"	"Pxl1p"	11	2
"611525..612265"	"+"	246	50593426	"SRL3"	"YKR091W"	"-"	"-"	"Srl3p"	11	2
"612665..613885"	"-"	406	398365461	"SRP40"	"YKR092C"	"-"	"-"	"Srp40p"	11	2
"615730..617535"	"+"	601	6322946	"PTR2"	"YKR093W"	"-"	"-"	"Ptr2p"	11	2
"617996..618750"	"-"	128	398365469	"RPL40B"	"YKR094C"	"-"	"-"	"ubiquitin-ribosomal 60S subunit protein L40B fusion protein"	11	2
"619805..625432"	"+"	1875	6322948	"MLP1"	"YKR095W"	"-"	"-"	"Mlp1p"	11	2
"625864..626205"	"+"	88	398365493	"PCC1"	"YKR095W-A"	"-"	"-"	"Pcc1p"	11	2
"626793..630380"	"+"	1195	6322949	"ESL2"	"YKR096W"	"-"	"-"	"Esl2p"	11	2
"631152..632801"	"+"	549	398365505	"PCK1"	"YKR097W"	"-"	"-"	"phosphoenolpyruvate carboxykinase PCK1"	11	2
"371829..374105"	"+"	758	6322817	"TUL1"	"YKL034W"	"-"	"-"	"ubiquitin-protein ligase TUL1"	11	2
"374505..375215"	"+"	236	398364625	"-"	"YKL033W-A"	"-"	"-"	"hypothetical protein"	11	2
"375456..378572"	"+"	1038	6322819	"TTI1"	"YKL033W"	"-"	"-"	"Tti1p"	11	2
"380065..381858"	"-"	597	398364635	"IXR1"	"YKL032C"	"-"	"-"	"Ixr1p"	11	2
"382716..384725"	"-"	669	6322823	"MAE1"	"YKL029C"	"-"	"-"	"malate dehydrogenase (oxaloacetate-decarboxylating)"	11	2
"385758..387206"	"+"	482	398364645	"TFA1"	"YKL028W"	"-"	"-"	"Tfa1p"	11	2
"387562..388905"	"+"	447	6322825	"TCD2"	"YKL027W"	"-"	"-"	"Tcd2p"	11	2
"389380..389883"	"-"	167	398364659	"GPX1"	"YKL026C"	"-"	"-"	"glutathione peroxidase GPX1"	11	2
"390240..392279"	"-"	679	6322827	"PAN3"	"YKL025C"	"-"	"-"	"Pan3p"	11	2
"392526..393140"	"-"	204	398364671	"URA6"	"YKL024C"	"-"	"-"	"bifunctional uridylate/adenylate kinase"	11	2
"393146..393373"	"-"	75	82795258	"-"	"YKL023C-A"	"-"	"-"	"hypothetical protein"	11	2
"393721..394554"	"+"	277	398364679	"-"	"YKL023W"	"-"	"-"	"hypothetical protein"	11	2
"394726..397248"	"-"	840	6322830	"CDC16"	"YKL022C"	"-"	"-"	"anaphase promoting complex subunit CDC16"	11	2
"397344..398750"	"-"	468	398364695	"MAK11"	"YKL021C"	"-"	"-"	"Mak11p"	11	2
"398832..402080"	"-"	1082	6322832	"SPT23"	"YKL020C"	"-"	"-"	"Spt23p"	11	2
"402568..403518"	"+"	316	398364711	"RAM2"	"YKL019W"	"-"	"-"	"bifunctional protein farnesyltransferase/protein geranylgeranyltransferase"	11	2
"403580..403879"	"-"	99	13129177	"-"	"YKL018C-A"	"-"	"-"	"hypothetical protein"	11	2
"404102..405091"	"+"	329	398364727	"SWD2"	"YKL018W"	"-"	"-"	"Swd2p"	11	2
"405190..407241"	"-"	683	6322835	"HCS1"	"YKL017C"	"-"	"-"	"Hcs1p"	11	2
"407465..407989"	"-"	174	398364745	"ATP7"	"YKL016C"	"-"	"-"	"F1F0 ATP synthase subunit d"	11	2
"408544..411483"	"+"	979	6322837	"PUT3"	"YKL015W"	"-"	"-"	"Put3p"	11	2
"411619..416913"	"-"	1764	398364755	"URB1"	"YKL014C"	"-"	"-"	"Urb1p"	11	2
"417508..418023"	"-"	171	6322839	"ARC19"	"YKL013C"	"-"	"-"	"Arc19p"	11	2
"418310..420061"	"+"	583	398364759	"PRP40"	"YKL012W"	"-"	"-"	"Prp40p"	11	2
"420155..421216"	"-"	353	6322841	"CCE1"	"YKL011C"	"-"	"-"	"Cce1p"	11	2
"421424..425875"	"-"	1483	398364789	"UFD4"	"YKL010C"	"-"	"-"	"putative ubiquitin-protein ligase UFD4"	11	2
"426242..426952"	"+"	236	6322843	"MRT4"	"YKL009W"	"-"	"-"	"Mrt4p"	11	2
"427295..428551"	"-"	418	398364795	"LAC1"	"YKL008C"	"-"	"-"	"sphingosine N-acyltransferase LAC1"	11	2
"429302..430108"	"+"	268	6322845	"CAP1"	"YKL007W"	"-"	"-"	"Cap1p"	11	2
"430198..430632"	"-"	97	398364813	"SFT1"	"YKL006C-A"	"-"	"-"	"Sft1p"	11	2
"431906..432720"	"+"	138	6322847	"RPL14A"	"YKL006W"	"-"	"-"	"ribosomal 60S subunit protein L14A"	11	2
"433093..434877"	"-"	594	398364821	"BYE1"	"YKL005C"	"-"	"-"	"Bye1p"	11	2
"435580..436785"	"+"	401	6322849	"AUR1"	"YKL004W"	"-"	"-"	"inositol phosphorylceramide synthase"	11	2
"437097..437492"	"-"	131	398364831	"MRP17"	"YKL003C"	"-"	"-"	"mitochondrial 37S ribosomal protein YmS16"	11	2
"437778..438544"	"+"	232	9755336	"DID4"	"YKL002W"	"-"	"-"	"Did4p"	11	2
"438777..439385"	"-"	202	398364837	"MET14"	"YKL001C"	"-"	"-"	"adenylyl-sulfate kinase"	11	2
"440608..442722"	"-"	704	6322853	"VPS1"	"YKR001C"	"-"	"-"	"Vps1p"	11	2
"443232..444938"	"+"	568	398364849	"PAP1"	"YKR002W"	"-"	"-"	"Pap1p"	11	2
"445381..446727"	"+"	448	6322855	"OSH6"	"YKR003W"	"-"	"-"	"oxysterol-binding protein OSH6"	11	2
"446799..448036"	"-"	377	398364861	"ECM9"	"YKR004C"	"-"	"-"	"Ecm9p"	11	2
"448521..450167"	"-"	525	157285914	"-"	"YKR005C"	"-"	"-"	"hypothetical protein"	11	2
"450423..451217"	"-"	264	398364875	"MRPL13"	"YKR006C"	"-"	"-"	"mitochondrial 54S ribosomal protein YmL13"	11	2
"451434..451988"	"+"	184	6322859	"MEH1"	"YKR007W"	"-"	"-"	"Meh1p"	11	2
"452201..454078"	"+"	625	398364889	"RSC4"	"YKR008W"	"-"	"-"	"Rsc4p"	11	2
"454352..457054"	"-"	900	6322861	"FOX2"	"YKR009C"	"-"	"-"	"bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase FOX2"	11	2
"458924..461239"	"-"	771	398364905	"TOF2"	"YKR010C"	"-"	"-"	"Tof2p"	11	2
"461635..462696"	"-"	353	6322863	"-"	"YKR011C"	"-"	"-"	"hypothetical protein"	11	2
"463959..464948"	"+"	329	398364919	"PRY2"	"YKR013W"	"-"	"-"	"Pry2p"	11	2
"465367..466071"	"-"	234	6322866	"YPT52"	"YKR014C"	"-"	"-"	"Ypt52p"	11	2
"466961..468667"	"-"	568	398364929	"-"	"YKR015C"	"-"	"-"	"hypothetical protein"	11	2
"469717..471339"	"+"	540	6322868	"FCJ1"	"YKR016W"	"-"	"-"	"Fcj1p"	11	2
"471694..473349"	"-"	551	398364949	"HEL1"	"YKR017C"	"-"	"-"	"Hel1p"	11	2
"473723..475900"	"-"	725	6322870	"-"	"YKR018C"	"-"	"-"	"hypothetical protein"	11	2
"476216..478063"	"-"	615	398364961	"IRS4"	"YKR019C"	"-"	"-"	"Irs4p"	11	2
"478338..478832"	"+"	164	6322872	"VPS51"	"YKR020W"	"-"	"-"	"Vps51p"	11	2
"479234..481981"	"+"	915	398364977	"ALY1"	"YKR021W"	"-"	"-"	"Aly1p"	11	2
"482171..483139"	"-"	322	6322874	"NTR2"	"YKR022C"	"-"	"-"	"Ntr2p"	11	2
"483419..485011"	"+"	530	398364989	"-"	"YKR023W"	"-"	"-"	"hypothetical protein"	11	2
"485144..487372"	"-"	742	6322876	"DBP7"	"YKR024C"	"-"	"-"	"Dbp7p"	11	2
"487770..488618"	"+"	282	398365013	"RPC37"	"YKR025W"	"-"	"-"	"Rpc37p"	11	2
"488738..489655"	"-"	305	6322878	"GCN3"	"YKR026C"	"-"	"-"	"Gcn3p"	11	2
"491364..493661"	"+"	765	398365029	"BCH2"	"YKR027W"	"-"	"-"	"Bch2p"	11	2
"494257..497358"	"+"	1033	330443662	"SAP190"	"YKR028W"	"-"	"-"	"Sap190p"	11	2
"497578..499833"	"-"	751	398365041	"SET3"	"YKR029C"	"-"	"-"	"Set3p"	11	2
"1810..2181"	"-"	123	6322625	"PAU16"	"YKL224C"	"-"	"-"	"Pau16p"	11	2
"3503..5620"	"-"	705	6322627	"-"	"YKL222C"	"-"	"-"	"hypothetical protein"	11	2
"6107..7528"	"+"	473	330443640	"MCH2"	"YKL221W"	"-"	"-"	"Mch2p"	11	2
"9091..11226"	"-"	711	6322629	"FRE2"	"YKL220C"	"-"	"-"	"Fre2p"	11	2
"14485..15708"	"+"	407	6322630	"COS9"	"YKL219W"	"-"	"-"	"Cos9p"	11	2
"262277..263113"	"+"	278	6322755	"YJU2"	"YKL095W"	"-"	"-"	"Yju2p"	11	2
"263349..264290"	"+"	313	6322756	"YJU3"	"YKL094W"	"-"	"-"	"Yju3p"	11	2
"264789..265808"	"+"	339	6322757	"MBR1"	"YKL093W"	"-"	"-"	"Mbr1p"	11	2
"266145..269459"	"-"	1104	6322758	"BUD2"	"YKL092C"	"-"	"-"	"Bud2p"	11	2
"269718..270650"	"-"	310	6322759	"-"	"YKL091C"	"-"	"-"	"hypothetical protein"	11	2
"271878..273209"	"+"	443	6322760	"CUE2"	"YKL090W"	"-"	"-"	"Cue2p"	11	2
"273394..275043"	"+"	549	6322761	"MIF2"	"YKL089W"	"-"	"-"	"Mif2p"	11	2
"275283..276998"	"+"	571	6322762	"CAB3"	"YKL088W"	"-"	"-"	"phosphopantothenoylcysteine decarboxylase complex subunit CAB3"	11	2
"277189..277863"	"-"	224	6322763	"CYT2"	"YKL087C"	"-"	"-"	"cytochrome c1 heme lyase CYT2"	11	2
"278281..278664"	"+"	127	6322764	"SRX1"	"YKL086W"	"-"	"-"	"Srx1p"	11	2
"279123..280127"	"+"	334	6322765	"MDH1"	"YKL085W"	"-"	"-"	"malate dehydrogenase MDH1"	11	2
"280509..280859"	"+"	116	6322766	"HOT13"	"YKL084W"	"-"	"-"	"Hot13p"	11	2
"281025..282329"	"-"	434	6322768	"RRP14"	"YKL082C"	"-"	"-"	"Rrp14p"	11	2
"282891..284455"	"+"	412	6322769	"TEF4"	"YKL081W"	"-"	"-"	"Tef4p"	11	2
"285030..286208"	"+"	392	6322770	"VMA5"	"YKL080W"	"-"	"-"	"Vma5p"	11	2
"286603..288573"	"+"	656	6322771	"SMY1"	"YKL079W"	"-"	"-"	"Smy1p"	11	2
"288845..291052"	"+"	735	6322772	"DHR2"	"YKL078W"	"-"	"-"	"Dhr2p"	11	2
"291453..292631"	"+"	392	6322773	"-"	"YKL077W"	"-"	"-"	"hypothetical protein"	11	2
"292956..294308"	"-"	450	6322775	"-"	"YKL075C"	"-"	"-"	"hypothetical protein"	11	2
"294610..296193"	"-"	527	6322776	"MUD2"	"YKL074C"	"-"	"-"	"Mud2p"	11	2
"296430..299075"	"+"	881	6322777	"LHS1"	"YKL073W"	"-"	"-"	"Hsp70 family chaperone LHS1"	11	2
"299582..301882"	"+"	766	6322778	"STB6"	"YKL072W"	"-"	"-"	"Stb6p"	11	2
"305114..305884"	"+"	256	6322779	"-"	"YKL071W"	"-"	"-"	"hypothetical protein"	11	2
"306211..306720"	"+"	169	6322780	"-"	"YKL070W"	"-"	"-"	"hypothetical protein"	11	2
"307285..307827"	"+"	180	6322781	"-"	"YKL069W"	"-"	"-"	"hypothetical protein"	11	2
"309206..309442"	"+"	78	33578048	"-"	"YKL068W-A"	"-"	"-"	"hypothetical protein"	11	2
"310199..313078"	"+"	959	6322782	"NUP100"	"YKL068W"	"-"	"-"	"Nup100p"	11	2
"314812..315273"	"+"	153	6322783	"YNK1"	"YKL067W"	"-"	"-"	"nucleoside diphosphate kinase"	11	2
"315954..316175"	"+"	73	82795257	"-"	"YKL065W-A"	"-"	"-"	"hypothetical protein"	11	2
"316437..317057"	"-"	206	330443654	"YET1"	"YKL065C"	"-"	"-"	"Yet1p"	11	2
"317764..320673"	"+"	969	6322786	"MNR2"	"YKL064W"	"-"	"-"	"putative Mg(2+) transporter MNR2"	11	2
"321015..321518"	"-"	167	6322787	"-"	"YKL063C"	"-"	"-"	"hypothetical protein"	11	2
"323228..325120"	"+"	630	6322788	"MSN4"	"YKL062W"	"-"	"-"	"Msn4p"	11	2
"325771..326112"	"+"	113	6322789	"BLI1"	"YKL061W"	"-"	"-"	"Bli1p"	11	2
"326408..327487"	"-"	359	6322790	"FBA1"	"YKL060C"	"-"	"-"	"fructose-bisphosphate aldolase FBA1"	11	2
"328118..329443"	"-"	441	6322791	"MPE1"	"YKL059C"	"-"	"-"	"Mpe1p"	11	2
"330166..330534"	"+"	122	6322792	"TOA2"	"YKL058W"	"-"	"-"	"Toa2p"	11	2
"330856..333969"	"-"	1037	6322793	"NUP120"	"YKL057C"	"-"	"-"	"Nup120p"	11	2
"334412..334915"	"-"	167	6322794	"TMA19"	"YKL056C"	"-"	"-"	"Tma19p"	11	2
"335321..336157"	"-"	278	6322795	"OAR1"	"YKL055C"	"-"	"-"	"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)"	11	2
"336537..338753"	"-"	738	6322796	"DEF1"	"YKL054C"	"-"	"-"	"Def1p"	11	2
"339182..339442"	"-"	86	6322797	"MDM35"	"YKL053C-A"	"-"	"-"	"Mdm35p"	11	2
"339668..340546"	"-"	292	269970311	"ASK1"	"YKL052C"	"-"	"-"	"Ask1p"	11	2
"341312..342373"	"+"	353	6322800	"SFK1"	"YKL051W"	"-"	"-"	"Sfk1p"	11	2
"342852..345620"	"-"	922	6322801	"-"	"YKL050C"	"-"	"-"	"hypothetical protein"	11	2
"346075..346764"	"-"	229	27808712	"CSE4"	"YKL049C"	"-"	"-"	"Cse4p"	11	2
"347214..349136"	"-"	640	6322803	"ELM1"	"YKL048C"	"-"	"-"	"Elm1p"	11	2
"349463..351013"	"+"	516	6322804	"ANR2"	"YKL047W"	"-"	"-"	"Anr2p"	11	2
"351275..352624"	"-"	449	6322805	"DCW1"	"YKL046C"	"-"	"-"	"Dcw1p"	11	2
"353493..355079"	"+"	528	6322806	"PRI2"	"YKL045W"	"-"	"-"	"Pri2p"	11	2
"356322..356642"	"+"	106	398364579	"-"	"YKL044W"	"-"	"-"	"hypothetical protein"	11	2
"356748..357848"	"+"	366	6322808	"PHD1"	"YKL043W"	"-"	"-"	"Phd1p"	11	2
"358475..359566"	"+"	363	398364591	"SPC42"	"YKL042W"	"-"	"-"	"Spc42p"	11	2
"360143..360817"	"+"	224	6322810	"VPS24"	"YKL041W"	"-"	"-"	"Vps24p"	11	2
"361058..361828"	"-"	256	398364601	"NFU1"	"YKL040C"	"-"	"-"	"Nfu1p"	11	2
"362622..364193"	"+"	523	83722565	"PTM1"	"YKL039W"	"-"	"-"	"Ptm1p"	11	2
"365605..369117"	"+"	1170	398364609	"RGT1"	"YKL038W"	"-"	"-"	"Rgt1p"	11	2
"369365..369721"	"+"	118	6322814	"AIM26"	"YKL037W"	"-"	"-"	"Aim26p"	11	2
"369891..371390"	"+"	499	398364619	"UGP1"	"YKL035W"	"-"	"-"	"UTP glucose-1-phosphate uridylyltransferase"	11	2
"931065..931755"	"-"	113	398366143	"RPL31B"	"YLR406C"	"-"	"-"	"ribosomal 60S subunit protein L31B"	12	2
"932206..932355"	"-"	49	33438847	"-"	"YLR406C-A"	"-"	"-"	"hypothetical protein"	12	2
"932967..933653"	"+"	228	398366147	"-"	"YLR407W"	"-"	"-"	"hypothetical protein"	12	2
"933885..934253"	"-"	122	6323440	"BLS1"	"YLR408C"	"-"	"-"	"Bls1p"	12	2
"934414..937233"	"-"	939	398366151	"UTP21"	"YLR409C"	"-"	"-"	"Utp21p"	12	2
"937541..940981"	"+"	1146	6323442	"VIP1"	"YLR410W"	"-"	"-"	"inositol polyphosphate kinase VIP1"	12	2
"941483..946796"	"+"	1770	398366157	"-"	"YLR410W-B"	"-"	"-"	"gag-pol fusion protein"	12	2
"941483..942799"	"+"	438	7839189	"-"	"YLR410W-A"	"-"	"-"	"gag protein"	12	2
"947253..947978"	"+"	241	398366163	"CTR3"	"YLR411W"	"-"	"-"	"Ctr3p"	12	2
"948368..949192"	"+"	274	6323444	"BER1"	"YLR412W"	"-"	"-"	"Ber1p"	12	2
"950267..950473"	"-"	68	398366165	"-"	"YLR412C-A"	"-"	"-"	"hypothetical protein"	12	2
"951156..953183"	"+"	675	6323445	"-"	"YLR413W"	"-"	"-"	"hypothetical protein"	12	2
"953353..954144"	"-"	263	398366169	"PUN1"	"YLR414C"	"-"	"-"	"Pun1p"	12	2
"954259..954597"	"-"	112	6323447	"-"	"YLR415C"	"-"	"-"	"hypothetical protein"	12	2
"955010..956710"	"+"	566	398366175	"VPS36"	"YLR417W"	"-"	"-"	"Vps36p"	12	2
"956914..958095"	"-"	393	6323450	"CDC73"	"YLR418C"	"-"	"-"	"Cdc73p"	12	2
"958428..962735"	"+"	1435	398366185	"-"	"YLR419W"	"-"	"-"	"putative helicase"	12	2
"963785..964879"	"+"	364	6323452	"URA4"	"YLR420W"	"-"	"-"	"dihydroorotase"	12	2
"965090..965560"	"-"	156	398366191	"RPN13"	"YLR421C"	"-"	"-"	"proteasome regulatory particle lid subunit RPN13"	12	2
"965897..971695"	"+"	1932	6323454	"-"	"YLR422W"	"-"	"-"	"hypothetical protein"	12	2
"971917..973170"	"-"	417	398366201	"ATG17"	"YLR423C"	"-"	"-"	"Atg17p"	12	2
"973395..975521"	"+"	708	6323456	"SPP382"	"YLR424W"	"-"	"-"	"Spp382p"	12	2
"982894..986817"	"+"	1307	398366223	"TUS1"	"YLR425W"	"-"	"-"	"Tus1p"	12	2
"987062..988113"	"+"	326	6323458	"TDA5"	"YLR426W"	"-"	"-"	"Tda5p"	12	2
"988428..990440"	"+"	670	398366231	"MAG2"	"YLR427W"	"-"	"-"	"Mag2p"	12	2
"990777..992732"	"+"	651	6323460	"CRN1"	"YLR429W"	"-"	"-"	"Crn1p"	12	2
"993434..1000129"	"+"	2231	398366241	"SEN1"	"YLR430W"	"-"	"-"	"putative DNA/RNA helicase SEN1"	12	2
"1000342..1001703"	"-"	453	6323463	"ATG23"	"YLR431C"	"-"	"-"	"Atg23p"	12	2
"1002557..1004128"	"+"	523	398366255	"IMD3"	"YLR432W"	"-"	"-"	"IMP dehydrogenase IMD3"	12	2
"1004347..1006008"	"-"	553	6323465	"CNA1"	"YLR433C"	"-"	"-"	"Cna1p"	12	2
"1006378..1006995"	"+"	205	398366271	"TSR2"	"YLR435W"	"-"	"-"	"Tsr2p"	12	2
"1007421..1011245"	"-"	1274	6323468	"ECM30"	"YLR436C"	"-"	"-"	"Ecm30p"	12	2
"1011622..1012023"	"-"	133	398366279	"DIF1"	"YLR437C"	"-"	"-"	"Dif1p"	12	2
"1012501..1013775"	"+"	424	6323470	"CAR2"	"YLR438W"	"-"	"-"	"ornithine-oxo-acid transaminase"	12	2
"1013909..1014178"	"-"	89	398366287	"LSM3"	"YLR438C-A"	"-"	"-"	"Lsm3p"	12	2
"1014491..1015450"	"+"	319	6323472	"MRPL4"	"YLR439W"	"-"	"-"	"mitochondrial 54S ribosomal protein YmL4"	12	2
"1015568..1017697"	"-"	709	398366305	"SEC39"	"YLR440C"	"-"	"-"	"Sec39p"	12	2
"1018141..1018908"	"-"	255	6323474	"RPS1A"	"YLR441C"	"-"	"-"	"ribosomal 40S subunit protein S1A"	12	2
"1019315..1022251"	"-"	978	398366309	"SIR3"	"YLR442C"	"-"	"-"	"Sir3p"	12	2
"1022625..1023971"	"+"	448	6323476	"ECM7"	"YLR443W"	"-"	"-"	"Ecm7p"	12	2
"1024189..1024837"	"+"	188	398366321	"GMC2"	"YLR445W"	"-"	"-"	"Gmc2p"	12	2
"1025214..1026515"	"+"	433	6323479	"-"	"YLR446W"	"-"	"-"	"hexokinase"	12	2
"1026856..1027893"	"-"	345	398366327	"VMA6"	"YLR447C"	"-"	"-"	"Vma6p"	12	2
"1028854..1029768"	"+"	176	6323481	"RPL6B"	"YLR448W"	"-"	"-"	"ribosomal 60S subunit protein L6B"	12	2
"1030834..1032012"	"+"	392	398366333	"FPR4"	"YLR449W"	"-"	"-"	"peptidylprolyl isomerase FPR4"	12	2
"1032627..1035764"	"+"	1045	6323483	"HMG2"	"YLR450W"	"-"	"-"	"hydroxymethylglutaryl-CoA reductase (NADPH) HMG2"	12	2
"1036093..1038753"	"+"	886	398366339	"LEU3"	"YLR451W"	"-"	"-"	"Leu3p"	12	2
"1039270..1041366"	"-"	698	6323485	"SST2"	"YLR452C"	"-"	"-"	"Sst2p"	12	2
"1041799..1042986"	"-"	395	398366349	"RIF2"	"YLR453C"	"-"	"-"	"Rif2p"	12	2
"1043998..1051884"	"+"	2628	6323487	"FMP27"	"YLR454W"	"-"	"-"	"Fmp27p"	12	2
"1053629..1054543"	"+"	304	398366367	"-"	"YLR455W"	"-"	"-"	"hypothetical protein"	12	2
"1055070..1055684"	"+"	204	6323489	"-"	"YLR456W"	"-"	"-"	"pyridoxal 5'-phosphate synthase"	12	2
"1055812..1056771"	"-"	319	398366373	"NBP1"	"YLR457C"	"-"	"-"	"Nbp1p"	12	2
"1057334..1058518"	"+"	394	6323492	"GAB1"	"YLR459W"	"-"	"-"	"Gab1p"	12	2
"1059757..1060887"	"-"	376	398366381	"-"	"YLR460C"	"-"	"-"	"hypothetical protein"	12	2
"1062919..1063281"	"+"	120	6323494	"PAU4"	"YLR461W"	"-"	"-"	"Pau4p"	12	2
"1065956..1066564"	"+"	202	398366387	"-"	"YLR462W"	"-"	"-"	"hypothetical protein"	12	2
"1066572..1067501"	"+"	216	6323496	"-"	"YLR464W"	"-"	"-"	"hypothetical protein"	12	2
"1067087..1071235"	"+"	1382	398366389	"YRF1-4"	"YLR466W"	"-"	"-"	"Y' element ATP-dependent helicase protein 1 copy 4"	12	2
"1072508..1077898"	"+"	1796	398366399	"YRF1-5"	"YLR467W"	"-"	"-"	"Y' element ATP-dependent helicase protein 1 copy 5"	12	2
"799697..802396"	"-"	899	6323368	"SGD1"	"YLR336C"	"-"	"-"	"Sgd1p"	12	2
"802653..805106"	"-"	817	6323370	"VRP1"	"YLR337C"	"-"	"-"	"Vrp1p"	12	2
"805887..806825"	"+"	312	6323371	"RPP0"	"YLR340W"	"-"	"-"	"ribosomal protein P0"	12	2
"807385..808818"	"+"	477	6323373	"SPO77"	"YLR341W"	"-"	"-"	"Spo77p"	12	2
"809997..815627"	"+"	1876	6323374	"FKS1"	"YLR342W"	"-"	"-"	"Fks1p"	12	2
"815810..815983"	"+"	57	33438845	"-"	"YLR342W-A"	"-"	"-"	"hypothetical protein"	12	2
"816094..817761"	"+"	555	6323375	"GAS2"	"YLR343W"	"-"	"-"	"Gas2p"	12	2
"819312..820142"	"+"	127	6323376	"RPL26A"	"YLR344W"	"-"	"-"	"ribosomal 60S subunit protein L26A"	12	2
"820511..822040"	"+"	509	6323377	"-"	"YLR345W"	"-"	"-"	"bifunctional fructose-2,6-bisphosphate 2-phosphatase/6-phosphofructo-2-kinase"	12	2
"822287..822592"	"-"	101	6323378	"-"	"YLR346C"	"-"	"-"	"hypothetical protein"	12	2
"823828..826413"	"-"	861	6323379	"KAP95"	"YLR347C"	"-"	"-"	"Kap95p"	12	2
"826977..827873"	"-"	298	6323381	"DIC1"	"YLR348C"	"-"	"-"	"Dic1p"	12	2
"828730..829380"	"+"	216	6323382	"ORM2"	"YLR350W"	"-"	"-"	"Orm2p"	12	2
"829489..830364"	"-"	291	6323383	"NIT3"	"YLR351C"	"-"	"-"	"Nit3p"	12	2
"831116..833539"	"+"	807	6323384	"-"	"YLR352W"	"-"	"-"	"hypothetical protein"	12	2
"834352..836163"	"+"	603	6323385	"BUD8"	"YLR353W"	"-"	"-"	"Bud8p"	12	2
"836350..837357"	"-"	335	6323386	"TAL1"	"YLR354C"	"-"	"-"	"sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase TAL1"	12	2
"838066..839253"	"-"	395	6323387	"ILV5"	"YLR355C"	"-"	"-"	"ketol-acid reductoisomerase"	12	2
"840321..840914"	"+"	197	6323388	"ATG33"	"YLR356W"	"-"	"-"	"Atg33p"	12	2
"841331..844000"	"+"	889	6323389	"RSC2"	"YLR357W"	"-"	"-"	"Rsc2p"	12	2
